scope,slug,series,title,date,last_edited,tags,excerpt,lang,fileName,cover
public,rust-07,rust,What is a Marker Trait in Rust ?,2026-02-20T01:00:00,2026-02-20T01:00:00,🦀rust,,en,rust-07.md,link to cover img
public,rust-06,rust,"""macro_rules! vs Custom #[derive]""",2026-02-19T18:00:00,2026-02-19T18:00:00,🦀rust,,en,rust-06.md,link to cover img
public,rust-05,rust,Traits in Rust,2026-02-19T12:00:00,2026-02-19T12:00:00,🦀rust,"Traits are Rust's primary abstraction mechanism. Think of them as interfaces (Java/C#) or concepts (C++20), but more powerful. They define shared behavior that types can implement.",en,rust-05.md,link to cover img
public,rust-04,rust,Send & Sync,2026-02-18T23:00:00,2026-02-18T23:00:00,🦀rust,,en,rust-04.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FyJ7YYQKv8uE%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=afdaa654e91a8dc017a4c3dc8e26e80123447af77ebb059fc8ed733fe31d5790
public,xe-02,Xynok Engine,Detailed Engine Architectural Patterns,2026-02-18T20:00:00,2026-02-18T20:00:00,⚙️xynok-engine,"A quick overview of common architectural patterns used in modern rendering and game engines, with a focus on Component-Based Architecture which forms the foundation of our Vulkan rendering engine.",en,xe-01.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FuMkWy_ayiYs%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=e6f60e426c005e7d82fc0fb58dc1de470467d575d4c7c3e9a31864db6da789ea
public,rust-02,rust,"""Rust Collections: Complete Guide""",2026-02-18T01:00:00,2026-02-18T01:00:00,🦀rust,"From basics to mastery — Arrays, Vectors, HashMaps, LinkedLists, VecDeque (Queue/Stack), and more.",en,rust-02.md,link to cover img
public,rust-03,rust,"""Rust Closure Traits: A Complete Technical Reference""",2026-02-18T01:00:00,2026-02-18T01:00:00,🦀rust,"A deep-dive into `Fn`, `FnMut`, and `FnOnce` — how they work, how the compiler decides which to use, and every practical use case you'll encounter.",en,rust-03.md,link to cover img
public,vulkan-00-v2,vulkan,Vulkan Resources & Components,2026-02-18T01:00:00,2026-02-18T01:00:00,vulkan,,en,vulkan-00-v2.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F2NVlG9TFT1c%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=1bc48266157d288817a9fdf26479c7009f947736ff5e91538c17a7f2afed3274
public,vulkan-01,vulkan,Vulkan Shared & Non-Shared Resource,2026-02-18T01:00:00,2026-02-18T01:00:00,vulkan,"Collections of vulkan resources and how to manage their memory,",en,vulkan-01.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F2NVlG9TFT1c%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=1bc48266157d288817a9fdf26479c7009f947736ff5e91538c17a7f2afed3274
public,rust-01,rust,Creating Your Own Derive Macro,2026-02-16T01:00:00,2026-02-16T01:00:00,🦀rust,,en,rust-01.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FfFKPv_kP77o%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=c77d529ec40741dc612ea3db4414f70d906c924bf7ec2fa8f493eaad7f38be65
public,rust-00,rust,"Using Result<T, E> in Rust",2026-02-15T16:00:00,2026-02-15T16:00:00,🦀rust,,en,rust-00.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fassets.st-note.com%2Fproduction%2Fuploads%2Fimages%2F177223162%2Frectangle_large_type_2_b4dc6d155a7b1bf54f9dbe8c3bd02d58.png%3Ffit%3Dbounds%26quality%3D85%26width%3D1280&f=1&nofb=1&ipt=a271a3b43da44010dbf6b9120ff2119c0bc153cbfc4c13e3cfc7fafc7adeb992
public,xe-00,Xynok Engine,Xynok Engine Documentation Navigator,2026-02-15T01:26:00,2026-02-15,⚙️xynok-engine,,en,xe-00.md,https://github.com/hoangcuongzk1/hoangcuongzk1.github.io/blob/main/docs/shared/xynok-engine/assets/textures/xynok_engine_readme_coverpost.png?raw=true
public,vulkan-00,vulkan,Core Concepts in Vulkan and Their Meanings,2026-02-09T01:26:00,2026-02-18T01:23:00,vulkan,,en,vulkan-00.md,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F2NVlG9TFT1c%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=1bc48266157d288817a9fdf26479c7009f947736ff5e91538c17a7f2afed3274
public,post-06,vulkan,Setting Up Vulkan on macOS,2026-01-14T01:26:00,2026-02-15,🦀rust|vulkan,Essential setup guide for macOS when working with Rust and Vulkan.,en,06-setup-vulkan-rust-macOS.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd4hxsajtTMpwD_kEhUspdjSJIWLGtE22c5g&s
public,post-03,productivity,Boosting Productivity with Terminal,2026-01-01T22:25:00,2026-02-15,productivity,What is Terminal? Practical applications of Terminal usage.,en,03-mac-terminal.md,https://github.com/hoangcuongzk1/hoangcuongzk1.github.io/blob/main/docs/shared/post-03/my_terminal_preview.png?raw=true
public,post-05,rust,Installing Rust on MacOS,2026-01-01T01:26:00,2026-02-15,🦀rust,A comprehensive guide to installing Rust on macOS,en,05-install-rust-macOS.md,https://i.ytimg.com/vi/yt8ujLidMYE/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGEAgTyhyMA8=&rs=AOn4CLDpJbU3fCmn2jrNXH5TZ5CthPFqxg
public,post-04,rust,A compilation of resources for learning Rust,2026-01-01T01:02:00,2026-02-15,🦀rust,"Collections of the web, youtube channel, book,... to learn Rust.",en,04-rust-documents.md,https://addons.mozilla.org/user-media/previews/full/231/231838.png?modified=1622134884
public,post-02,computer-hardwares,Punch card machine,2025-12-13T05:56:00,2026-02-15,hardware,How punch cards work.,en,02-how-punch-card-works.md,https://twobithistory.org/images/ibm029_front.jpg
public,post-01,talk,First Post,2025-12-09T01:15:00,2025-12-09T01:15:00,talk,"Why This Website Exists, and What It Will Contain.",en,01-first-post.md,https://cdn11.bigcommerce.com/s-8e25iavqdi/images/stencil/1280x1280/products/121929/138853/the-hobbit-an-unexpected-journey-4-cover-art-sticker-ACF054879__04107.1650926362.jpg?c=2
public,post-00,debug,Test Post Rendering,2025-12-08T01:26:00,2026-02-15T05:05:00,test,Test Post Rendering from markdown to HTML.,en,00-test.md,https://i.pinimg.com/originals/82/71/47/82714763ab84910774a889d31ca8e4c1.gif